id,value
744,-2.154E+01
1253,-3.148E+00
1346,-6.503E+00
74,-3.386E+00
149,-1.345E+01
296,-2.562E+00
318,-1.584E+01
396,-1.803E+01
481,-5.342E+00
1415,-5.567E+00
49, 1.618E+00
67,-1.125E+00
69,-4.578E+00
78, 2.011E+00
160, 1.751E+00
238,-1.200E+00
344, 2.514E-01
431,-1.996E+00
448,-1.927E+00
476, 2.404E+00
494,-6.298E-01
513, 3.460E+00
574,-2.837E+00
611, 2.761E+00
652, 1.345E+00
677, 2.061E+00
753,-3.853E+00
798, 1.643E+00
839, 3.035E+00
871,-1.349E+00
998,-1.568E+00
1092,-1.911E+00
1144, 1.978E+00
1193,-2.289E+00
1207, 1.169E+00
1290, 1.025E+00
1331,-3.676E+00
1342,-5.411E-02
1368, 1.957E+00
1404,-7.359E-01
1427,-7.111E-01
1442, 6.867E-02
64, 1.749E-01
90, 1.383E+00
161,-5.206E-02
252,-2.484E-01
284,-1.839E+00
311,-3.101E-01
345,-1.184E+00
415,-1.654E+00
455, 1.421E+00
469,-1.293E+00
496, 8.651E-01
520, 1.292E+00
537, 1.041E-01
543, 6.298E+00
585, 4.592E-01
604,-1.295E-01
614,-1.108E+00
649, 7.442E-01
679, 6.290E-01
695, 2.974E+00
770,-1.168E+00
792,-7.658E-01
849,-1.768E+00
858,-9.183E-01
872,-1.882E-01
931,-7.359E-01
945,-8.252E-01
992,-3.101E-01
1024,-7.814E-01
1082, 1.352E+00
1117,-9.079E-01
1170, 6.235E-01
1190, 1.361E+00
1219, 7.790E-01
1222, 1.162E+00
1282,-1.577E+00
